id,temperature,pressure,humidity,wind_speed,wind_direction,precipitation,snowing,cloudiness,target
TRAIN_00000,21.06600000000003,1016.2,63.6,1.8,204.0,0.0,False,10.4,5.426
TRAIN_00001,13.968000000000018,1017.2,87.8,1.4,221.4,0.0,False,16.6,2.23
TRAIN_00002,28.154,1018.4,52.6,0.8,234.0,0.0,False,19.0,0.588
TRAIN_00003,11.815999999999974,1030.0,79.6,1.6,200.0,0.0,False,22.0,2.712
TRAIN_00004,17.49200000000002,1012.6,70.8,4.8,242.0,0.06,False,45.0,8.136
TRAIN_00005,20.01800000000003,1017.0,80.0,1.8,146.8,0.0,False,8.0,3.691
TRAIN_00006,29.676000000000045,1019.2,46.4,2.8,210.0,0.0,False,23.0,5.403
TRAIN_00007,15.79600000000005,1002.0,60.8,4.2,180.0,0.6,False,57.0,1.439
TRAIN_00008,14.05400000000003,1011.4,70.0,6.8,236.0,0.06,False,49.0,7.486
TRAIN_00009,24.12200000000007,1014.2,61.8,3.6,182.0,0.18,False,35.0,4.801
TRAIN_00010,19.39599999999996,1019.2,67.8,2.8,170.4,0.0,False,27.0,2.245
TRAIN_00011,19.650000000000038,1008.8,70.0,3.8,210.0,0.18,False,53.0,8.641
TRAIN_00012,22.48160000000001,1013.4,64.8,1.6,229.6,0.0,False,1.6,4.456
TRAIN_00013,23.81800000000004,1011.6,54.0,4.2,178.0,0.0,False,8.0,2.983
TRAIN_00014,9.991000000000042,1025.4,93.2,1.0,93.4,0.0,False,27.0,2.361
TRAIN_00015,24.436000000000035,1019.8,70.0,4.4,150.0,0.0,False,30.0,1.986
TRAIN_00016,24.73199999999997,1019.0,68.2,1.6,10.0,0.0,False,38.0,5.75
TRAIN_00017,10.532000000000096,1010.0,82.4,3.2,200.0,0.0,False,49.0,4.97
TRAIN_00018,16.75600000000003,1005.6,74.2,6.0,198.0,0.24,False,49.0,13.895
TRAIN_00019,21.36600000000004,1017.6,47.2,2.8,156.0,0.0,False,8.0,1.323
TRAIN_00020,6.558462500000019,1010.0,84.6,2.6,121.2,0.0,False,54.4,3.575
TRAIN_00021,35.97000000000003,1016.2,28.8,3.2,112.0,0.0,False,8.0,4.891
TRAIN_00022,13.948000000000036,1026.4,51.0,0.8,95.4,0.0,False,15.0,2.83
TRAIN_00023,14.689400000000036,996.6,84.4,1.8,168.2,0.0,False,4.0,2.088
TRAIN_00024,18.882000000000065,1015.8,66.4,1.0,112.8,0.18,False,34.0,7.201
TRAIN_00025,12.768000000000027,1020.2,91.0,1.4,148.0,0.0,False,0.0,3.19
TRAIN_00026,10.51600000000002,1017.6,81.2,3.0,222.4,0.0,False,22.0,11.376
TRAIN_00027,25.194000000000077,1016.0,53.4,2.4,153.2,0.0,False,23.0,1.623
TRAIN_00028,21.738000000000056,1016.0,70.0,1.2,196.4,0.0,False,8.0,4.92
TRAIN_00029,30.480000000000015,1017.4,51.8,4.0,214.0,0.0,False,4.0,12.601
TRAIN_00030,10.890000000000043,1023.0,77.8,2.4,199.8,0.0,False,16.6,7.548
TRAIN_00031,22.397999999999968,997.2,84.2,1.4,135.2,0.0,False,2.4,4.79
TRAIN_00032,14.126000000000031,1019.0,93.0,2.2,173.4,0.06,False,33.0,3.454
TRAIN_00033,21.63400000000001,1028.6,68.2,2.2,98.0,0.0,False,16.0,4.915
TRAIN_00034,30.88000000000005,1018.2,52.8,4.8,210.0,0.0,False,23.0,6.212
TRAIN_00035,28.108000000000004,1007.2,38.8,8.6,258.0,0.18,False,32.0,15.564
TRAIN_00036,11.608000000000004,1021.8,82.6,4.4,184.0,0.0,False,31.0,2.655
TRAIN_00037,22.198200000000043,996.2,65.4,2.8,179.8,0.12,False,58.8,4.222
TRAIN_00038,8.69440000000003,1021.0,77.8,2.0,202.6,0.06,False,22.0,9.699
TRAIN_00039,19.55600000000004,1007.6,75.8,1.0,128.0,0.0,False,20.0,0.751
TRAIN_00040,12.036,1010.8,83.4,3.8,234.0,0.42,False,46.0,11.531
TRAIN_00041,30.82000000000005,1019.6,53.0,2.0,89.2,0.0,False,15.0,4.1
TRAIN_00042,11.738000000000056,1010.2,76.4,1.6,140.2,0.36,False,41.0,5.672
TRAIN_00043,33.468000000000075,1019.4,39.6,4.6,162.0,0.0,False,4.0,2.426
TRAIN_00044,16.06000000000006,1002.8,90.8,3.4,108.0,0.24,False,63.0,8.06
TRAIN_00045,14.105000000000018,983.2,95.0,2.4,240.2,0.72,False,61.6,4.939
TRAIN_00046,15.840000000000089,1013.4,66.8,2.6,131.4,0.0,False,4.0,6.95
TRAIN_00047,12.614000000000033,1010.2,75.8,3.2,216.0,0.36,False,39.0,8.305
TRAIN_00048,13.077999999999976,1029.4,78.8,2.2,188.0,0.06,False,50.0,2.613
TRAIN_00049,11.75400000000002,1026.2,86.0,1.4,138.0,0.0,False,6.4,1.641
TRAIN_00050,14.54200000000003,1017.4,88.6,2.0,214.0,0.06,False,35.0,4.136
TRAIN_00051,26.16140000000007,1033.0,53.6,2.2,171.0,0.0,False,0.0,4.246
